seed_search,seed_run,n_layers,hidden_units,batch_size,lr,weight_decay,val_split,patience,reduce_plateau,num_epochs,lambda_data,lambda_rss,lambda_azimuth,lambda_bc,n_collocation,n_boundary_collocation,resampling_period,test_mse,test_rmse,test_50th,test_75th,test_90th,test_mae,test_min_ae,test_max_ae,develop_buffer,develop_channel,develop_polarization,develop_preprocess,develop_task,develop_split,test_buffer,test_channel,test_polarization,test_preprocess,test_task,test_split
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,0.24569319188594818,0.4956744909286499,0.31752926111221313,0.48453617095947266,0.7872233986854553,0.38875097036361694,0.008710276335477829,1.7699337005615234,1000,37,2nd,False,static_south,0.8,1000,37,2nd,False,static_south,0.2
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,0.24569319188594818,0.4956744909286499,0.31752926111221313,0.48453617095947266,0.7872233986854553,0.38875097036361694,0.008710276335477829,1.7699337005615234,1000,37,2nd,False,static_south,0.8,1000,37,2nd,False,static_south,0.2
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,0.590535581111908,0.768463134765625,0.5140379667282104,0.7621786594390869,1.0628029108047485,0.6038525104522705,0.020270949229598045,7.106881141662598,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,0.5905352830886841,0.7684629559516907,0.514035701751709,0.7621772885322571,1.0628037452697754,0.6038523316383362,0.020271379500627518,7.1068806648254395,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.0,1.0,1.0,0.0,10000,256,10,12.419475555419922,3.524127721786499,3.302562952041626,4.447633266448975,5.128356456756592,3.2233989238739014,0.4562813937664032,6.472018718719482,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,0.0,10000,256,10,0.5079131126403809,0.7126802206039429,0.4937659800052643,0.7237849235534668,1.026840090751648,0.5539445877075195,0.011571623384952545,7.809810161590576,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,1.0,10000,256,10,0.5080694556236267,0.7127898931503296,0.49533194303512573,0.7250505685806274,1.0296865701675415,0.5541197061538696,0.006291219498962164,7.8514299392700195,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,1.0,10000,256,10,5.806060791015625,2.409576892852783,1.9104644060134888,2.742626190185547,3.9681413173675537,2.052391767501831,0.08587273955345154,6.064322471618652,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,0.1,10000,256,10,0.4823039770126343,0.6944810748100281,0.4295836091041565,0.7183049917221069,1.0180584192276,0.539936363697052,0.005193822085857391,4.784702777862549,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,0.0,10000,256,10,0.46227023005485535,0.679904580116272,0.40161967277526855,0.6453859210014343,0.9484541416168213,0.5075551271438599,0.0026390652637928724,7.647555828094482,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,0.0,10000,256,10,0.5717589259147644,0.7561474442481995,0.5362070798873901,0.7721508741378784,1.072742223739624,0.6021893620491028,0.005727328825742006,7.903121471405029,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,0.0,10000,256,10,0.4286945164203644,0.6547476649284363,0.38481301069259644,0.6018002033233643,0.9175336360931396,0.48502516746520996,0.010219934396445751,7.580263137817383,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,0.0,10000,256,10,0.45752376317977905,0.6764050126075745,0.43229344487190247,0.6515197157859802,0.9262584447860718,0.5147774815559387,0.00279084499925375,7.743389129638672,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.3745401188473625,0.9507143064099162,0.7319939418114051,0.0,20000,256,10,0.32397106289863586,0.5691845417022705,0.3999154269695282,0.5941782593727112,0.8508421182632446,0.460752010345459,0.015595848672091961,2.62199068069458,1000,37,2nd,False,static_south,0.8,1000,37,2nd,False,static_south,0.2
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5986584841970366,0.15601864044243652,0.15599452033620265,0.0,20000,256,10,0.26032915711402893,0.5102246403694153,0.29024502635002136,0.5119535326957703,0.7951902747154236,0.3884540796279907,0.0130615234375,2.2599573135375977,1000,37,2nd,False,static_south,0.8,1000,37,2nd,False,static_south,0.2
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.05808361216819946,0.8661761457749352,0.6011150117432088,0.0,20000,256,10,0.27250802516937256,0.5220230221748352,0.3462962210178375,0.5324535369873047,0.819729745388031,0.4213894307613373,0.013377959839999676,1.7725979089736938,1000,37,2nd,False,static_south,0.8,1000,37,2nd,False,static_south,0.2
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.3745401188473625,0.9507143064099162,0.7319939418114051,0.0,20000,256,10,0.49379560351371765,0.7027059197425842,0.4543176293373108,0.6873709559440613,0.9338988661766052,0.5377548933029175,0.010136224329471588,7.9712419509887695,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5986584841970366,0.15601864044243652,0.15599452033620265,0.0,20000,256,10,0.4034702479839325,0.6351930499076843,0.38441628217697144,0.6450861096382141,0.8960719704627991,0.48106133937835693,0.004351962823420763,7.368603706359863,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.05808361216819946,0.8661761457749352,0.6011150117432088,0.0,20000,256,10,0.7751286625862122,0.8804138898849487,0.5931326150894165,0.9131839275360107,1.3031647205352783,0.7096115946769714,0.002987473737448454,9.268426895141602,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.7080725777960455,0.020584494295802447,0.9699098521619943,0.0,20000,256,10,0.5511074662208557,0.7423661351203918,0.4874608516693115,0.749354898929596,1.060092568397522,0.5785090327262878,0.012668236158788204,7.412215709686279,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.8324426408004217,0.21233911067827616,0.18182496720710062,0.0,20000,256,10,0.4030756950378418,0.6348824501037598,0.38201090693473816,0.6459406018257141,0.8966939449310303,0.4805356562137604,0.008084368892014027,7.350073337554932,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
